round,team_id,opponent_id,fixture_difficulty,was_home
1,12,4,3,True
1,4,12,4,False
1,2,15,3,True
1,15,2,4,False
1,6,10,2,True
1,10,6,3,False
1,18,3,1,True
1,3,18,3,False
1,17,19,2,True
1,19,17,4,False
1,20,13,4,True
1,13,20,2,False
1,7,8,3,True
1,8,7,4,False
1,16,5,3,True
1,5,16,3,False
1,14,1,4,True
1,1,14,4,False
1,11,9,3,True
1,9,11,3,False
2,19,7,3,True
2,7,19,2,False
2,13,18,3,True
2,18,13,5,False
2,4,20,2,True
2,20,4,3,False
2,5,2,3,True
2,2,5,4,False
2,3,17,2,True
2,17,3,2,False
2,1,11,2,True
2,11,1,5,False
2,8,16,2,True
2,16,8,3,False
2,9,6,3,True
2,6,9,3,False
2,10,14,3,True
2,14,10,3,False
2,15,12,3,True
2,12,15,4,False
3,7,10,2,True
3,10,7,4,False
3,14,3,1,True
3,3,14,4,False
3,18,4,3,True
3,4,18,3,False
3,17,5,3,True
3,5,17,4,False
3,20,9,3,True
3,9,20,2,False
3,11,15,3,True
3,15,11,3,False
3,6,13,4,True
3,13,6,3,False
3,16,19,2,True
3,19,16,3,False
3,12,1,4,True
3,1,12,4,False
3,2,8,3,True
3,8,2,4,False
4,1,16,2,True
4,16,1,5,False
4,4,6,3,True
4,6,4,3,False
4,8,17,2,True
4,17,8,3,False
4,9,2,3,True
4,2,9,3,False
4,10,11,2,True
4,11,10,3,False
4,15,20,2,True
4,20,15,4,False
4,19,18,3,True
4,18,19,2,False
4,5,7,3,True
4,7,5,4,False
4,3,12,3,True
4,12,3,2,False
4,13,14,3,True
4,14,13,5,False
5,12,9,3,True
5,9,12,4,False
5,6,18,3,True
5,18,6,3,False
5,3,16,2,True
5,16,3,2,False
5,19,8,3,True
5,8,19,2,False
5,20,11,2,True
5,11,20,2,False
5,14,7,3,True
5,7,14,4,False
5,10,5,3,True
5,5,10,3,False
5,4,15,3,True
5,15,4,3,False
5,17,2,3,True
5,2,17,4,False
5,1,13,4,True
5,13,1,5,False
6,5,14,3,True
6,14,5,4,False
6,7,6,3,True
6,6,7,4,False
6,8,12,3,True
6,12,8,3,False
6,11,4,3,True
6,4,11,3,False
6,13,3,1,True
6,3,13,5,False
6,16,17,2,True
6,17,16,3,False
6,18,20,2,True
6,20,18,3,False
6,2,10,2,True
6,10,2,4,False
6,15,1,4,True
6,1,15,4,False
6,9,19,2,True
6,19,9,3,False
7,4,10,2,True
7,10,4,3,False
7,11,18,3,True
7,18,11,3,False
7,1,19,2,True
7,19,1,5,False
7,14,17,2,True
7,17,14,4,False
7,7,12,3,True
7,12,7,4,False
7,2,3,1,True
7,3,2,4,False
7,9,8,3,True
7,8,9,3,False
7,15,16,2,True
7,16,15,4,False
7,20,6,3,True
7,6,20,2,False
7,5,13,4,True
7,13,5,4,False
8,16,7,3,True
8,7,16,3,False
8,6,15,3,True
8,15,6,3,False
8,3,11,2,True
8,11,3,2,False
8,8,4,3,True
8,4,8,3,False
8,13,9,3,True
8,9,13,5,False
8,17,20,2,True
8,20,17,4,False
8,10,1,4,True
8,1,10,3,False
8,18,2,3,True
8,2,18,3,False
8,12,14,3,True
8,14,12,4,False
8,19,5,3,True
8,5,19,2,False
9,11,19,2,True
9,19,11,3,False
9,7,17,2,True
9,17,7,4,False
9,15,10,2,True
9,10,15,4,False
9,14,6,3,True
9,6,14,4,False
9,5,12,3,True
9,12,5,4,False
9,1,8,3,True
9,8,1,5,False
9,2,13,4,True
9,13,2,4,False
9,4,16,2,True
9,16,4,3,False
9,20,3,1,True
9,3,20,2,False
9,9,18,3,True
9,18,9,3,False
10,6,11,2,True
10,11,6,3,False
10,3,1,4,True
10,1,3,2,False
10,8,5,3,True
10,5,8,3,False
10,10,20,2,True
10,20,10,3,False
10,16,14,3,True
10,14,16,3,False
10,18,7,3,True
10,7,18,3,False
10,12,2,3,True
10,2,12,4,False
10,19,15,3,True
10,15,19,2,False
10,13,4,3,True
10,4,13,5,False
10,17,9,3,True
10,9,17,4,False
11,18,14,3,True
11,14,18,3,False
11,9,10,2,True
11,10,9,3,False
11,19,3,1,True
11,3,19,2,False
11,17,1,4,True
11,1,17,4,False
11,7,20,2,True
11,20,7,4,False
11,2,4,3,True
11,4,2,4,False
11,5,15,3,True
11,15,5,4,False
11,8,6,3,True
11,6,8,3,False
11,16,11,2,True
11,11,16,3,False
11,13,12,3,True
11,12,13,5,False
12,3,7,3,True
12,7,3,2,False
12,4,19,2,True
12,19,4,3,False
12,6,5,3,True
12,5,6,3,False
12,10,17,2,True
12,17,10,3,False
12,12,16,2,True
12,16,12,4,False
12,20,8,3,True
12,8,20,2,False
12,15,13,4,True
12,13,15,4,False
12,11,2,3,True
12,2,11,3,False
12,1,18,3,True
12,18,1,5,False
12,14,9,3,True
12,9,14,4,False
13,5,3,1,True
13,3,5,4,False
13,13,11,2,True
13,11,13,5,False
13,17,4,3,True
13,4,17,4,False
13,9,15,3,True
13,15,9,3,False
13,18,10,2,True
13,10,18,3,False
13,8,14,3,True
13,14,8,3,False
13,2,20,2,True
13,20,2,4,False
13,16,6,3,True
13,6,16,3,False
13,19,12,3,True
13,12,19,2,False
13,7,1,4,True
13,1,7,4,False
14,4,9,3,True
14,9,4,3,False
14,10,13,4,True
14,13,10,3,False
14,15,18,3,True
14,18,15,4,False
14,1,5,3,True
14,5,1,5,False
14,6,2,3,True
14,2,6,3,False
14,3,8,3,True
14,8,3,2,False
14,20,16,2,True
14,16,20,2,False
14,11,7,3,True
14,7,11,3,False
14,12,17,2,True
14,17,12,4,False
14,14,19,2,True
14,19,14,4,False
15,2,1,4,True
15,1,2,4,False
15,4,7,3,True
15,7,4,3,False
15,9,16,2,True
15,16,9,3,False
15,13,17,2,True
15,17,13,5,False
15,15,3,1,True
15,3,15,4,False
15,18,5,3,True
15,5,18,3,False
15,11,12,3,True
15,12,11,3,False
15,6,19,2,True
15,19,6,3,False
15,10,8,3,True
15,8,10,3,False
15,20,14,3,True
15,14,20,2,False
16,7,9,3,True
16,9,7,4,False
16,12,6,3,True
16,6,12,4,False
16,3,10,2,True
16,10,3,2,False
16,1,20,2,True
16,20,1,5,False
16,8,13,4,True
16,13,8,3,False
16,16,18,3,True
16,18,16,3,False
16,17,15,3,True
16,15,17,4,False
16,19,2,3,True
16,2,19,2,False
16,5,11,2,True
16,11,5,4,False
16,14,4,3,True
16,4,14,4,False
17,15,7,3,True
17,7,15,4,False
17,4,3,1,True
17,3,4,3,False
17,6,17,2,True
17,17,6,3,False
17,13,19,2,True
17,19,13,5,False
17,20,5,3,True
17,5,20,2,False
17,18,12,3,True
17,12,18,3,False
17,9,1,4,True
17,1,9,3,False
17,11,8,3,True
17,8,11,3,False
17,2,14,3,True
17,14,2,4,False
17,10,16,2,True
17,16,10,3,False
18,14,15,3,True
18,15,14,4,False
18,16,13,4,True
18,13,16,3,False
18,1,6,3,True
18,6,1,5,False
18,5,4,3,True
18,4,5,4,False
18,3,9,3,True
18,9,3,2,False
18,12,20,2,True
18,20,12,4,False
18,19,10,2,True
18,10,19,2,False
18,7,2,3,True
18,2,7,4,False
18,17,11,2,True
18,11,17,4,False
18,8,18,3,True
18,18,8,3,False
19,3,15,3,True
