id,assists,bonus,bps,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,defensive_contribution,defensive_contribution_per_90,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,form,web_name,goals_conceded,goals_conceded_per_90,goals_scored,minutes,now_cost,own_goals,penalties_missed,penalties_saved,position,recoveries,red_cards,saves,selected_by_percent,starts_per_90,tackles,team,team_name,total_points,transfers_in,transfers_out,yellow_cards
1,0,5,450,13,0.46,25,0,0.0,0.06,0.0,0.06,0.0,0.00,19.38,0.69,0.0,3.3,Raya,21,0.75,0,2520,60,0,0,0,Goalkeeper,239,0,41,34.6,1.0,1,1,Arsenal,112,3932079,2230397,1
2,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Arrizabalaga,0,0.0,0,0,41,0,0,0,Goalkeeper,0,0,0,0.4,0.0,0,1,Arsenal,0,14216,75870,0
3,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Hein,0,0.0,0,0,40,0,0,0,Goalkeeper,0,0,0,0.2,0.0,0,1,Arsenal,0,5545,47948,0
4,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Setford,0,0.0,0,0,39,0,0,0,Goalkeeper,0,0,0,0.2,0.0,0,1,Arsenal,0,33187,32540,0
5,3,18,496,12,0.57,160,186,8.83,1.02,0.05,2.86,0.14,1.84,12.90,0.61,0.09,4.0,Gabriel,14,0.66,3,1895,71,0,0,0,Defender,38,0,0,42.8,1.0,26,1,Arsenal,144,8001788,5107544,2
6,0,4,386,10,0.48,106,131,6.22,0.61,0.03,1.23,0.06,0.62,13.05,0.62,0.03,2.8,Saliba,15,0.71,0,1894,61,0,0,0,Defender,86,0,0,13.8,1.05,25,1,Arsenal,86,1849795,2117707,1
7,2,4,308,10,0.67,61,91,6.08,0.40,0.03,3.17,0.22,2.77,7.79,0.52,0.19,1.5,Calafiori,8,0.53,1,1347,56,0,0,0,Defender,59,0,0,6.3,1.14,30,1,Arsenal,86,2628359,2417478,5
8,5,7,471,12,0.48,68,126,5.07,1.44,0.06,5.74,0.23,4.30,14.76,0.59,0.17,3.0,J.Timber,19,0.77,2,2235,64,0,0,0,Defender,91,0,0,29.2,1.01,58,1,Arsenal,127,6443129,3482955,5
9,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Kiwior,0,0.0,0,0,54,0,0,0,Defender,0,0,0,0.0,0.0,0,1,Arsenal,0,1119,10889,0
10,0,0,36,0,0.0,10,14,4.05,0.06,0.02,0.11,0.03,0.05,5.26,1.52,0.01,0.0,Lewis-Skelly,5,1.45,0,311,51,0,0,0,Defender,14,0,0,1.4,0.29,4,1,Arsenal,12,133679,462870,3
11,1,3,112,3,0.66,23,36,7.92,0.49,0.11,0.92,0.2,0.43,6.13,1.35,0.09,0.2,White,4,0.88,0,409,51,0,0,0,Defender,18,0,0,0.5,1.1,13,1,Arsenal,30,346721,401516,0
12,0,0,56,0,0.0,14,24,6.14,0.36,0.09,0.43,0.11,0.07,5.02,1.28,0.02,0.0,Zinchenko,6,1.53,0,352,49,0,0,0,Defender,17,0,0,0.2,1.02,10,16,Nott'm Forest,7,26902,52940,0
13,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Clarke,0,0.0,0,0,38,0,0,0,Defender,0,0,0,0.4,0.0,0,1,Arsenal,0,51549,77546,0
14,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Kacurri,0,0.0,0,0,39,0,0,0,Defender,0,0,0,0.1,0.0,0,1,Arsenal,0,10218,22591,0
15,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Nichols,0,0.0,0,0,37,0,0,0,Defender,0,0,0,0.2,0.0,0,1,Arsenal,0,25085,27152,0
16,8,13,449,8,0.42,19,143,7.46,5.36,0.28,11.94,0.62,6.58,11.44,0.6,0.34,3.3,Saka,15,0.78,5,1725,98,0,0,0,Midfielder,93,0,0,7.6,0.99,31,1,Arsenal,119,3996671,4997992,1
17,6,5,252,4,0.34,13,81,6.81,2.91,0.24,3.92,0.32,1.01,12.89,1.08,0.08,2.2,Ødegaard,11,0.93,1,1070,78,0,0,0,Midfielder,51,0,0,1.6,1.09,17,1,Arsenal,62,374963,632112,0
18,1,6,174,5,0.54,11,46,4.99,1.98,0.21,2.94,0.31,0.96,8.68,0.94,0.1,5.0,Madueke,7,0.76,2,829,68,0,0,0,Midfielder,20,0,0,1.3,1.19,15,1,Arsenal,51,358421,343447,0
19,3,1,141,2,0.25,10,56,7.03,0.90,0.11,4.32,0.54,3.42,6.65,0.83,0.43,2.0,Martinelli,5,0.63,1,717,68,0,0,0,Midfielder,36,0,0,1.0,1.0,10,1,Arsenal,41,182938,246500,2
20,5,9,346,8,0.45,21,106,6.0,2.57,0.15,7.39,0.42,4.82,10.64,0.6,0.27,2.7,Trossard,13,0.74,5,1590,68,0,0,0,Midfielder,62,0,0,1.1,0.96,23,1,Arsenal,97,524877,446909,1
21,8,21,634,12,0.46,97,289,11.19,5.97,0.23,8.92,0.34,2.95,15.91,0.62,0.11,4.5,Rice,20,0.77,4,2325,76,0,0,0,Midfielder,143,0,0,34.1,1.01,49,1,Arsenal,152,6764427,3571168,2
22,3,5,238,4,0.36,30,111,10.03,1.45,0.13,4.44,0.4,2.99,6.59,0.6,0.27,1.2,Merino,9,0.81,4,996,54,0,0,0,Midfielder,55,0,0,0.9,0.9,26,1,Arsenal,66,835871,831857,1
23,0,0,0,0,0.0,0,0,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,Fábio Vieira,0,0.0,0,0,54,0,0,0,Midfielder,0,0,0,0.0,0.0,0,1,Arsenal,0,933,4422,0
24,0,0,14,0,0.0,6,9,25.31,0.00,0.0,0.05,0.14,0.05,2.18,6.13,0.14,0.2,Nørgaard,1,2.81,0,32,51,0,0,0,Midfielder,3,0,0,0.1,0.0,0,1,Arsenal,4,7454,60885,0
